id,name,followers,popularity,genre
1r1uxoy19fzMxunt3ONAkG,phoebe bridgers,3071492,79,electronic
77SW9BnxLY8rJ0RciFqkHh,the neighbourhood,22105790,86,rock
5Y0eBjypjKL7Ahms0NaXVp,t'nah apex,2341,44,hip-hop
2ynyWs4AJojnzKopyD4XgE,that's outrageous!,16001,18,rock
776Uo845nYHJpNaStv1Ds4,jimi hendrix,7436025,69,rock
1hLiboQ98IQWhpKeP9vRFw,boygenius,1091860,65,electronic
0WfaItAbs4vlgIA1cuqGtJ,daniela andrade,416655,57,electronic
2bT4eELLlSuDTtZWV2Z3jN,trooper,91817,43,rock
1e5OohAPdgqCeMq3eegvqp,zacardi cortez,123621,44,r&b
6x9CKUBQ96VjXxKgGE5hIw,ero808,53209,56,electronic
4ilGHeD6uLEs4oURkpB2sR,lunchbox,28,2,hip-hop
2Waw2sSbqvAwK8NwACNjVo,bo burnham,2089464,65,pop
2J6pigOrBmKQgqJUY5UM7r,matt ox,324993,51,hip-hop
6olugRCWrmU3UVOcrsCusJ,cristion d'or,95,19,electronic
7c0XG5cIJTrrAgEC3ULPiq,ty dolla $ign,7494491,83,hip-hop
7cKtqv9cYVlOwnuCFH95ce,the the,398467,53,pop
2kMzxA8edU05hvMFU493zJ,good morning,210710,50,electronic
3EhbVgyfGd7HkpsagwL9GS,alice cooper,4064506,64,rock
3L4ruEFnrufEeZAWYzGZpF,corporate avenger,15156,25,hip-hop
6vXTefBL93Dj5IqAWq6OTv,french montana,5904657,76,hip-hop
085pc2PYOi8bGKj0PNjekA,will.i.am,4480988,75,hip-hop
2Yhge9MsE7qKcV0eWsuuHM,healy,142095,44,hip-hop
021U5Ph1AQMVUndqnLPMkL,kazewiw,3107,3,electronic
1uNFoZAHBGtllmzznpCI3s,justin bieber,85905716,94,r&b
1URVdcNYXigvk6Dj0fHYOM,skaiwater,149205,51,electronic
12zbUHbPHL5DGuJtiUfsip,julien baker,525136,65,electronic
7uULHYi1Itll0KdBNcE0Xz,niiice.,12898,20,rock
0hCNtLu0JehylgoiP8L4Gh,nicki minaj,34496402,86,hip-hop
1W4itxt3vwhmrgLEBuVHJ6,vundabar,553509,62,rock
1YfEcTuGvBQ8xSD1f53UnK,busta rhymes,3225204,73,hip-hop
6nFBSlEb2tkIOH3YtIIw6F,dom corleo,184188,54,hip-hop
4KIzyH8RDYbO94Qs7tfGRg,d'avant,1287,8,pop
69wzuykaVXlRS5KVygESvd,bobby bare,195287,51,country
0XFbUGJA4WiUB0umqslbHx,the world,109,0,hip-hop
6FcvjJzvxgybo7Ywsj0hRj,butcher babies,210525,44,rock
1KA3WXYMPLxomNuoE22LYd,gram parsons,151142,43,country
3V70UC5ftw2Rt78ctlaQdz,get dead,30522,38,folk
3jT7IeLgXbSz86qKUq7Bqc,rajitheone,13565,16,hip-hop
5a2EaR3hamoenG9rDuVn8j,prince,7900709,72,r&b
5delTPpDAtBDsjk60f5xnt,autumn!,636279,64,hip-hop
7mmU5GuOoyxoBAgOZkSVj7,bomb the music industry!,49887,36,folk
3QchzUOTSCKWmaRGEEiuir,saramalacara,306987,58,hip-hop
2vygNfdnPBXah21ZrqhxYk,a certain ratio,43822,29,rock
4Xz0iuUsldTkp0aUbxQgX1,kita mahal,2728,12,hip-hop
2gbT6GPXMis0OAkZbEQCYB,pinegrove,537406,64,rock
4o4tLTIJ3eWMFerz73atcT,qveen herby,664005,55,hip-hop
6ybdfMQNAfHKRrTFGv4VaH,wawmart,356,4,hip-hop
1vWVrqf7xiZJ72jTc8U1MG,know the score,2304,3,electronic
5zvOGQ4uW2viBHMmkyl3C2,kyle edwards,19229,36,electronic
57SI9O6izEzHGTpvJ6auv8,sonyae,8057,33,electronic
7x83XhcMbOTl1UdYsPTuZM,tom waits,1471389,60,folk
7gdumNGhjv3bXqI9NqVY9a,the aluminum group,3488,15,pop
62k5LKMhymqlDNo2DWOvvv,boys noize,315104,58,electronic
4YEl33ar2WlUSF94Yh9CCf,ka$hdami,386774,55,hip-hop
4sb7rZNN93BSS6Gqgepo4v,too $hort,1683818,64,hip-hop
1tqhsYv8yBBdwANFNzHtcr,lil dicky,2054511,61,hip-hop
4jLcgJjDGmW0HmvbSf6lEI,how to dress well,87460,27,pop
2FcgwIGEPmPyItFPscscDO,vluestar,29009,42,electronic
3DFoVPonoAAt4EZ1FEI8ue,sir sly,286007,50,pop
3K2Srho6NCF3o9MswGR76H,bakar,722779,65,hip-hop
5X0V59ipZnbvnubW0rQVri,roc marciano,186164,55,hip-hop
255w1O3tp19jnUZPI6cMVL,benjamin dakota rogers,77434,39,folk
0pCNk4D3E2xtszsm6hMsWr,k.flay,651985,63,electronic
5cgtn5YWC3Fr06wTps1dBq,goapele,333820,48,r&b
6qqNVTkY8uBg9cP3Jd7DAH,billie eilish,120831372,93,hip-hop
3crnzLy8R4lVwaigKEOz7V,e-40,1044910,68,hip-hop
7r8xR0LmnaAM623MmRDn1V,max frost,127653,47,rock
1Zz6NBe8UIZjm88TvehFtx,le youth,127022,53,electronic
4AetBFHtrgNhytjEOATNvO,the lords of altamont,9239,18,rock
6yoW6SfviQ5D4Wa5jGxh7f,pool kids,46931,42,rock
0Y4inQK6OespitzD6ijMwb,freddie gibbs,1503665,70,hip-hop
6PXS4YHDkKvl1wkIl4V8DL,fetty wap,5133143,73,hip-hop
53VAKbI2fXRs1PwG6DVToP,mir fontane,27600,34,hip-hop
6ZGqgx7xsnBH26CNJZQSJw,lords of altamont,2464,1,rock
6GrHfxMFCXCdIhN9DrAxjK,dj smallz 732,39738,45,electronic
4MmceHDNzXjWNr42IFpuJc,moonlight scorpio,73517,47,hip-hop
7wGrLSB3v7jkV3fSsjYwtv,born ruffians,98083,38,rock
5c3GLXai8YOMid29ZEuR9y,nick drake,965745,63,folk
4hieTkZSZ7OWaN8hTB8tC1,bleu edmondson,54206,31,country
4nXOZlYoAD67hF9aUEncMY,pouya,1385652,68,hip-hop
